City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,portland,45.5234,-122.6762,11.1,95,100,4.63,US,1701895077
118,guerrero negro,27.9769,-114.0611,25.54,28,0,4.13,MX,1701895036
119,palmer,42.1584,-72.3287,2.23,62,75,3.09,US,1701895139
120,isafjordur,66.0755,-23.124,-2.79,80,23,2.56,IS,1701895139
121,galveston,29.3669,-94.9669,20.1,55,0,3.09,US,1701895139
122,margate,51.3813,1.3862,4.39,93,88,0.89,GB,1701895139
123,tsiombe,-25.3,45.4833,22.69,74,35,6.24,MG,1701895139
124,hamilton,39.1834,-84.5333,6.07,69,100,5.36,US,1701894893
125,avarua,-21.2078,-159.775,27.03,78,40,8.23,CK,1701895139
126,enewetak,11.3474,162.3373,27.63,72,95,9.75,MH,1701895140
127,khandyga,62.6667,135.6,-46.89,98,100,0.53,RU,1701895140
128,seven pagodas,12.6264,80.1722,27.03,85,30,3.04,IN,1701895140
129,chonchi,-42.6128,-73.8092,18.56,59,13,1.12,CL,1701895140
130,lebu,-37.6167,-73.65,15.18,78,3,6.62,CL,1701895140
131,luza,60.6308,47.2512,-22.97,97,25,1.21,RU,1701895140
132,morrope,-6.5417,-80.0111,25.06,62,88,7.86,PE,1701895140
133,port elizabeth,-33.918,25.5701,20.61,94,100,8.75,ZA,1701895140
134,lihue,21.9789,-159.3672,25.77,72,40,5.14,US,1701895140
135,dedovichi,57.5517,29.9502,-20.25,100,99,1.72,RU,1701895140
136,that phanom,16.9364,104.7104,18.96,82,82,3.67,TH,1701895140
137,safaga,26.7292,33.9365,20.79,54,0,4.57,EG,1701895140
138,itoman,26.1247,127.6694,21.43,64,75,9.26,JP,1701895141
139,selfoss,63.9331,-20.9971,-3.36,55,75,4.94,IS,1701895141
140,douglas,41.3,-96.167,13.15,51,0,7.72,US,1701894902
141,galliano,29.4422,-90.2992,16.67,38,0,4.63,US,1701895141
142,parauna,-16.9478,-50.4486,30.2,43,54,1.79,BR,1701895141
143,pisco,-13.7,-76.2167,24.03,64,0,8.75,PE,1701895141
144,chibougamau,49.9168,-74.3659,-11.21,79,100,1.54,CA,1701895141
145,yeniseysk,58.4497,92.1703,-25.59,91,100,2.24,RU,1701895141
146,xicotencatl,23.0167,-98.8833,20.75,77,100,3.95,MX,1701895142
